,name
239,princess-nora-bint-abdulrahman-university--bachelor-level--teachers--students-and-graduates-2010
240,female-students-and-gradutes-in-health-institutes-by-region-2007
241,and-gradutes-in-health-institutes-by-region1415-1419-a-h-and-new-enrolled-by-region-1419-a-h-1999
242,female-students-and-gradutes-in-health-institutes-by-region--and-new-enrolled--by-region-2003
243,female-students-and-gradutes-in-health-institutes-by-region--and-new-enrolled--by-region-2004
244,complications-of-pregnancy-and-child-birth-moh-hospitals-1438h-2017g
245,complications-of-pregnancy-and-child-birth-moh-hospitals-1440h-2019g
246,some-gyn-operations-in-moh-hospitals-by-type-of-operation-and-region-1439h-201g
247,1437-2016
248,students_-_graduates
249,the-first-astronaut-woman
250,the-programs-of-girls--homes-and-women-activities-social-development--and-services-centers--2001
251,beneficiaries-satisfaction-for-2020
252,news-for-the-month-of-march-2021
253,customer-satisfaction-data
254,total-number-of-private-and-public-veterinary-establishments-for-2020
255,forest-data-to-2021
256,garden-data-to-2021
257,total-annual-expenditures-in-moh-by-gfs-classification
258,patient-experience-for-phcs-jan-2021
259,overall-score-of-patient-experience-for-phcs-2018-2020
260,patient-experience-for-phcs-feb-2021
261,patient-experience-for-phcs-dec-2020
262,mewa-human-recourses
263,manpower-in-the-ministry-of-justice
264,e-services-data
265,2018-2019-2020-2021
266,real-estate-detail-for-district-in-2018-2019-2020-and-2021
267,attorney-in-2018-2019-2020-and-2021
268,attestation-in-2018-2019-2020-and-2021
269,completed-execution-requests-in-2018-2019-2020-2021
270,real-estate-detail-for-cities-in-2018-2019-2020-and-2021
271,real-estate-detail-for-regions-in-2018-2019-2020-and-2021
272,completed-cases-in-2018-2019-2020-and-2021
273,assessment-of-objection-to-inspection-violations-during-commercial-establishments-2020
274,evaluating-the-inspection-visits-to-commercial-establishments-during-year-2020
275,job-seeker-2019
276,occupying-jobs-with-the-electronic-promotion-system-masar-inthe-government-sector-for-the-year-2020
277,space-faring-excellence
278,projects-suburbs
279,the-importance-of-scientific-models-in-studying-space
280,municipal-arena
281,orbital-slots-types-and-uses
282,parks-and-green-spaces
283,public-markets
284,data
285,waiting-list
286,social-development-bank-loans-for-2020
287,statistics-tourism-trips-2015-2019
288,saudi-arabia-share-of-tourism-revenues-in-the-middle-east-2015-2019
289,saudi-arabia-share-of-of-international-tourism-revenuest-2015-2019
290,saudi-arabia-share-of-tourists-in-the-middle-east-2015-2019
291,tourism-demand-trips-2010-2018
292,tourism-spending-statistics-from-2015-to-2019
293,data-of-students-enrolled-during-the-academic-year-1439-1440-a-h
294,data-of-students-enrolled-during-the-academic-year-1440-1441-ah
295,the-development-of-the-number-of-university-students
296,data-of-students-enrolled-during-the-academic-year-1438-1439-ah
297,total-distribution-of-publications-of-the-king-fahd-complex-for-the-printing-of-the-holy-qur-an
298,guest-program-of-the-custodian-of-the-two-holy-mosques
299,number-of-hosts-benefiting-from-the-hosting-service-during-the-hajj-season-1440-ah
300,mosques-administrations-advocacy-guidance-and-supervision-offices-in-the-regions
301,saudi-standard-for-2020
302,iecee-certificates-for-2020
303,report-of-inspection-visits
304,vehicle-statistics-data-for-the-year-1441-ah
305,elections-for-the-members-of-the-board-2021
306,regulars-for-the-year-2021-the-second-semester
307,graduates-of-the-year-2020-2021-first-semester
308,services-statistics-2020
309,marriage-statistics-data-for-the-year-1441-ah
310,death-statistics-data-for-the-year-1441-ah
311,birth-statistics-data-for-the-year-1441-ah
312,customer-satisfied-statistics
313,services-uses-statistics
314,satisfaction-rate-2020
315,volume-per-service-2020
316,kacare
317,new-job-seekers-in-the-government-sector-who-are-registered-in-jadarah-during-2020
318,hcp-by-sector-and-region-2020
319,production-and-domestic-consumption-of-oil-and-oil-products
320,production-of-gold-silver-copper-zinc-and-lead-2014-2019-a-d
321,exports-of-crude-oil-and-refined-products-by-destination
